ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,FILA,FILA,NUMARVORECONTROLE,NUMARVORECONTROLE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,2,2,2,2,21.9,23.05,16.1,16.9,16.1,16.9,0.256986574,0.292581769,17.55883309,SEED,49
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,2,2,5,5,20.15,21.15,15,16.2,15,16.2,0.208775707,0.240831909,17.55883309,SEED,50
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,2,2,5,5,21.15,21.35,16.2,17,16.2,17,0.240831909,0.256576128,17.55883309,SEED,50
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,2,2,11,11,22.05,22.65,16,17,16,17,0.259165171,0.284175347,17.55883309,SEED,51
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,3,3,3,3,20.85,21.75,16,17.3,16,17.3,0.233178685,0.266354805,17.55883309,SEED,52
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,3,3,3,3,21.75,21.85,17.3,17.8,17.3,17.8,0.266354805,0.277865969,17.55883309,SEED,52
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,3,3,4,4,20.95,22.2,17,18.1,17,18.1,0.245699561,0.286142111,17.55883309,SEED,53
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,3,3,4,4,22.2,22.5,18.1,19.2,18.1,19.2,0.286142111,0.311742868,17.55883309,SEED,53
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,3,3,6,6,18.05,18.7,0,0,15.3,16.2,0.171842012,0.190442797,17.55883309,SEED,54
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,3,3,6,6,18.7,18.75,0,0,16.2,16.9,0.190442797,0.200934531,17.55883309,SEED,54
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,3,3,8,8,20.55,21.15,0,0,15.9,16.8,0.225626883,0.247083383,17.55883309,SEED,55
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,3,3,8,8,21.15,21.4,0,0,16.8,17.6,0.247083383,0.264412712,17.55883309,SEED,55
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,3,3,10,10,19.2,19.75,0,0,15.6,16.5,0.195718859,0.21384982,17.55883309,SEED,56
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,3,3,10,10,19.75,20.1,0,0,16.5,17.2,0.21384982,0.232264,17.55883309,SEED,56
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,4,4,2,2,19.85,20.75,0,0,15.7,16.7,0.209866699,0.237352819,17.55883309,SEED,57
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,4,4,2,2,20.75,20.85,0,16.7,16.7,16.7,0.237352819,0.242118708,17.55883309,SEED,57
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,4,4,7,7,18.75,19.35,0,0,15.5,16.4,0.186199729,0.204778957,17.55883309,SEED,58
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,4,4,7,7,19.35,19.5,0,0,16.4,17.1,0.204778957,0.218079756,17.55883309,SEED,58
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,4,4,9,9,19.5,21.1,0,16.3,15.6,16.3,0.202190278,0.240812389,17.55883309,SEED,59
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,4,4,10,10,15.3,15.85,0,0,14.4,15.3,0.120785763,0.133530424,17.55883309,SEED,60
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,4,4,12,12,23.05,24.05,16.2,16.8,16.2,16.8,0.284313975,0.315925644,17.55883309,SEED,61
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,4,4,12,12,24.05,24.3,16.8,17.4,16.8,17.4,0.315925644,0.3317931,17.55883309,SEED,61
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,6,6,3,3,22.2,23.15,16.6,16.8,16.6,16.8,0.269492998,0.293749499,17.55883309,SEED,62
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,6,6,3,3,23.15,23.35,16.8,17.4,16.8,17.4,0.293749499,0.308300594,17.55883309,SEED,62
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,6,6,5,5,19.55,20.15,0,0,15.7,16.6,0.203278579,0.223109634,17.55883309,SEED,63
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,6,6,5,5,20.15,20.2,0,0,16.6,17.3,0.223109634,0.234668315,17.55883309,SEED,63
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,6,6,7,7,22.2,23.6,15.5,17.3,15.5,17.3,0.256622646,0.311251746,17.55883309,SEED,64
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,6,6,7,7,23.6,24.15,17.3,18.4,17.3,18.4,0.311251746,0.343152389,17.55883309,SEED,64
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,6,6,9,9,19.9,20.65,0,0,15.7,16.7,0.21097443,0.234949543,17.55883309,SEED,65
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,6,6,9,9,20.65,20.7,0,0,16.7,17.4,0.234949543,0.246861889,17.55883309,SEED,65
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,7,7,1,1,22.55,23.45,17.2,18.1,17.2,18.1,0.284695835,0.317671196,17.55883309,SEED,66
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,7,7,1,1,23.45,24.05,18.1,19.4,18.1,19.4,0.317671196,0.35538918,17.55883309,SEED,66
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,7,7,4,4,20.6,21.1,16,16.5,16,16.5,0.227927606,0.242938408,17.55883309,SEED,67
MT,MTV,2005,SEED,001A,2019,2020,599,4503,599-4503,1080,1080,13.4,14.5,7,7,4,4,21.1,21.15,16.5,16.9,16.5,16.9,0.242938408,0.250970649,17.55883309,SEED,67
MT,MTV,2005,SEED,001A,2018,2019,599,4503,599-4503,1080,1080,12.8,13.4,7,7,8,8,22.65,23.6,17,18.3,17,18.3,0.284697811,0.324116973,17.55883309,SEED,68
