parcela,arvore,comum,cientifico,familia,dap2012,cc2012,hcom,ht,vertical,luminosidade,medicao,dap2014,cc2014
T02,92,casca seca,Licania canescens,Chrysobalanaceae,36.8,37.5,22.14,39.35,C,2,20120209,37.2,37.5
T02,94,guajara branco,Pouteria sp.,Sapotaceae,50.2,52.5,13.32,19.84,S,2,20120209,51,52.5
T02,97,breu branco,Protium paniculatum,Burseraceae,15.7,17.5,11.16,18.88,S,2,20120209,16.5,17.5
T02,98,cupiuba,Goupia glabra,Goupiaceae,63.8,62.5,16.61,24.42,E,1,20120209,65,67.5
T02,99,morta,NA,NA,10.9,12.5,NA,5.23,NA,NA,20120209,10.8,12.5
T02,100,inga,Inga marginata,Fabaceae,10.8,12.5,9.34,13.55,S,2,20120209,11.6,12.5
T02,102,sucupira,Diplotropis sp.,Fabaceae,51.4,52.5,25.18,30.97,E,1,20120209,51.3,52.5
T02,106,angelim rajado,Zygia racemosa,Fabaceae,31.7,32.5,14.97,21.71,S,1,20120209,34,32.5
T02,107,jatereu,Lecythis idatimon,Lecythidaceae,13.1,12.5,7.07,11.66,S,2,20120209,13.4,12.5
T02,109,capueiro,Rinorea guianensis,Violaceae,18.3,17.5,8.7,15.36,S,2,20120209,19.5,17.5
T02,110,abiu cutite,NA,NA,58.7,57.5,18.14,27.99,E,1,20120209,59.1,57.5
T02,111,inga,Inga marginata,Fabaceae,10,12.5,6.33,14,S,3,20120209,10.2,12.5
T02,112,capueiro,Rinorea guianensis,Violaceae,18.2,17.5,10.52,17.27,S,2,20120209,18.6,17.5
T02,113,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,65,67.5,29.07,39.82,E,1,20120209,66,67.5
T02,114,uxirana,Sacoglottis guianensis,Humiriaceae,28.7,27.5,16.7,27.83,C,2,20120209,29.4,27.5
T02,115,matamata,Eschweilera amazonica,Lecythidaceae,21,22.5,13.1,21.53,S,1,20120209,21,22.5
T02,116,macucu,Licania guianensis,Chrysobalanaceae,37,37.5,13.66,23,C,1,20120209,38,37.5
T02,117,morta,NA,NA,41.3,42.5,NA,31.44,NA,NA,20120209,41.3,42.5
T02,120,pintadinho,Poeppigia procera,Fabaceae,37.7,37.5,22.25,25.64,C,2,20120209,38.2,37.5
T02,121,capueiro,Rinorea guianensis,Violaceae,17.5,17.5,13.24,21.2,C,2,20120209,18,17.5
T02,122,casca seca,Licania canescens,Chrysobalanaceae,38,37.5,11.44,17.6,S,2,20120209,38.2,37.5
T02,123,matamata,Eschweilera amazonica,Lecythidaceae,16.7,17.5,10.56,17.37,S,1,20120209,17.4,17.5
T02,125,freijo branco,Cordia scabrifolia,Boraginaceae,40.5,42.5,16.86,26.3,C,2,20120209,41.2,42.5
T02,127,morta,NA,NA,40.8,42.5,NA,18.74,NA,NA,20120209,40.7,42.5
T02,128,matamata,Eschweilera amazonica,Lecythidaceae,45,47.5,20.1,27.84,S,2,20120209,46,47.5
T02,130,matamata vermelho,Eschweilera coriacea,Lecythidaceae,56.8,57.5,22.68,38.02,C,1,20120209,57.1,57.5
T02,131,jatereu,Lecythis idatimon,Lecythidaceae,11,12.5,9.98,15.29,S,2,20120209,11,12.5
T02,132,merauba,Mouriri collocarpa,Melastomataceae,25,27.5,16.7,27.78,S,2,20120209,25.3,27.5
T02,133,matamata,Eschweilera amazonica,Lecythidaceae,14,12.5,11.26,18,S,2,20120209,14,12.5
T02,136,tachi preto,Tachigali myrmecophila,Fabaceae,43.2,42.5,25.72,31.88,E,1,20120209,51.1,52.5
T02,137,joao-mole,Neea oppositifolia,Nyctaginaceae,52,52.5,29.19,36.96,E,1,20120209,52,52.5
T02,139,inhare,Helicostylis sp.,Moraceae,15.4,17.5,5.93,8.46,S,1,20120209,15.8,17.5
T02,140,envira preta,Guatteria schomburgkiana,Annonaceae,29.3,27.5,21.61,28.86,C,1,20120209,29.5,27.5
T02,141,jatereu,Lecythis idatimon,Lecythidaceae,22.5,22.5,8.34,13.16,C,1,20120209,22.8,22.5
T02,142,matamata,Eschweilera parviflora,Lecythidaceae,20.4,22.5,23.17,33,S,2,20120209,20.9,22.5
T02,143,louro vermelho,Sextonia rubra,Lauraceae,79.4,77.5,33.52,43.94,E,1,20120209,80,82.5
T02,144,breu barrote,Tetragastris panamensis,Burseraceae,10.2,12.5,12.61,16.82,S,1,20120209,11.3,12.5
T02,145,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,11,12.5,9.67,12.49,S,2,20120209,11.4,12.5
T02,146,mato,NA,NA,19,17.5,2.64,8.39,S,1,20120209,19.5,17.5
T02,149,parapara,Jacaranda copaia,Bignoniaceae,12,12.5,11.37,13.97,S,2,20120209,13.1,12.5
T02,151,araracanga,Aspidosperma spruceanum,Apocynaceae,54.5,52.5,26.78,37.79,C,2,20120209,55.5,57.5
T02,152,embauba,Cecropia ficifolia,Urticaceae,41,42.5,18.06,23.88,C,2,20120209,44,42.5
T02,153,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,50,52.5,20,38.36,C,2,20120209,50,52.5
T02,154,embauba,Cecropia ficifolia,Urticaceae,39.9,37.5,21.87,29.2,C,2,20120209,41.9,42.5
